Size,Avg Time N2,Avg Ops N2,Avg Time DC,Avg Ops DC,Avg Time N,Avg Ops N
10,7.743333299004007e-06,55.0,1.3110000024122807e-05,44.0,2.0799998310394585e-06,10.0
100,0.000519930000094367,5050.0,0.00016606000008323463,772.0,1.773999999083268e-05,100.0
500,0.012972519999978734,125250.0,0.0009589200000239847,4988.0,8.711666656987896e-05,500.0
1000,0.052632443333338115,500500.0,0.00213620333330861,10976.0,0.00016706999977031956,1000.0
5000,1.3280933866667815,12502500.0,0.011688223333355079,66808.0,0.0008912699999200413,5000.0
